id,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,URBANICITY
1,0,4-Dec-92,28,0,6,"$91,360 ",No,"$68,052 ",No,F,High School,Clerical,41,Commercial,"$36,275 ",9,Minivan,Yes,"$20,368 ",0,No,0,$0 ,9,Highly Rural/ Rural
2,3,23-Apr-02,18,0,8,"$47,522 ",Yes,"$267,843 ",Yes,M,Bachelors,Home Maker,23,Private,"$23,784 ",3,Minivan,Yes,"$4,756 ",2,No,4,"$8,943 ",1,Highly Urban/ Urban
3,0,13-Nov-65,55,2,7,"$89,272 ",No,"$95,769 ",Yes,F,Masters,Student,17,Commercial,"$24,047 ",15,Panel Truck,Yes,"$3,280 ",3,No,6,"$8,943 ",8,Highly Rural/ Rural
4,2,3-Apr-91,29,0,12,"$109,851 ",Yes,"$187,521 ",Yes,M,Masters,Student,30,Commercial,"$14,984 ",7,Minivan,No,"$15,191 ",0,Yes,10,"$3,896 ",10,Highly Rural/ Rural
5,1,21-Feb-67,53,4,13,"$30,042 ",Yes,"$120,114 ",No,M,Masters,Home Maker,43,Commercial,"$24,366 ",7,Panel Truck,No,"$3,305 ",0,No,10,"$2,351 ",7,Highly Rural/ Rural
6,1,11-Jul-99,21,2,7,"$70,485 ",Yes,"$124,410 ",Yes,F,Bachelors,Manager,30,Private,"$38,846 ",7,Pickup,Yes,"$19,042 ",3,No,3,$0 ,2,Highly Rural/ Rural
7,1,7-Dec-85,35,2,0,"$55,436 ",Yes,"$182,005 ",Yes,F,PhD,Student,40,Private,"$36,578 ",12,Panel Truck,No,"$3,130 ",0,No,8,$0 ,8,Highly Urban/ Urban
8,1,13-Jun-69,51,1,3,"$54,852 ",Yes,"$141,233 ",Yes,F,Bachelors,Student,40,Commercial,"$27,679 ",11,Van,No,"$17,921 ",0,Yes,10,"$6,477 ",12,Highly Urban/ Urban
9,0,29-Apr-88,32,3,4,"$130,607 ",No,"$181,820 ",No,M,PhD,Blue Collar,18,Private,"$29,494 ",14,Minivan,No,"$5,217 ",0,No,7,$0 ,9,Highly Rural/ Rural
10,1,5-Jan-91,30,3,0,"$129,314 ",Yes,"$294,453 ",No,M,High School,Manager,14,Private,"$23,972 ",10,Minivan,No,"$9,729 ",0,Yes,2,"$5,347 ",9,Highly Rural/ Rural
11,1,25-Dec-94,26,3,9,"$69,153 ",Yes,"$29,873 ",No,M,Masters,Manager,44,Private,"$21,576 ",6,Panel Truck,No,"$20,236 ",0,No,6,"$4,931 ",0,Highly Rural/ Rural
